,node,cluster
1,genome_block_9150|Ga0257077_10319054:1-10119,NA
140,genome_block_38264|ULUJ01036114.1:1-10492,NA
141,genome_block_37177|OHDF01002582.1:1-14025,NA
142,genome_block_37177|OHDF01002582.1:1-10370,NA
143,genome_block_37998|OWIM01012080.1:1-10306,NA
144,genome_block_37308|OHTG01006117.1:1-10991,70
145,genome_block_37812|OLRO01007037.1:1-10304,NA
146,genome_block_37315|OHTM01005531.1:1-12426,NA
147,genome_block_37315|OHTM01005531.1:1-12343,NA
148,genome_block_37166|OHBV01023710.1:1-10444,NA
149,genome_block_37166|OHBV01023710.1:1-10361,NA
150,genome_block_37166|OHBV01014797.1:1-11365,NA
151,genome_block_37178|OHDH01018708.1:1-10224,NA
152,genome_block_37217|OHHY01005218.1:1-11870,NA
153,genome_block_37559|OJAW01000627.1:730-20759,NA
154,genome_block_37540|OIYY01000224.1:4870-24899,NA
155,genome_block_37363|OIAY01002983.1:1-11878,NA
156,genome_block_37217|OHHY01017871.1:1-10560,NA
157,genome_block_37133|OKRX01035862.1:1-10617,NA
158,genome_block_38199|ULQK01037236.1:1-13417,NA
159,genome_block_37360|OIAL01012936.1:1-10968,NA
160,genome_block_37125|OGZF01018583.1:1-10095,NA
161,genome_block_37125|OGZF01018583.1:1-10094,NA
162,genome_block_38695|NODE_896_length_26536_cov_6.952721:1-13403,NA
163,genome_block_38494|UMKP01078555.1:1-12922,NA
164,genome_block_38004|OWJI01002014.1:1-14040,NA
165,genome_block_37656|OJRB01000395.1:14764-34793,NA
166,genome_block_37656|OJRB01000395.1:14427-34456,NA
167,genome_block_37533|OLGO01001077.1:7576-27605,NA
168,genome_block_37533|OLGO01001077.1:7239-27268,NA
169,genome_block_37508|OLGI01001639.1:5531-25560,NA
170,genome_block_37508|OLGI01001639.1:5194-25223,NA
171,genome_block_37212|OHHR01001358.1:1-13379,NA
172,genome_block_37117|OGYZ01003728.1:1-16167,NA
173,genome_block_37117|OGYZ01003728.1:1-15483,NA
174,genome_block_38415|UMFA01016380.1:1-15221,NA
175,genome_block_38415|UMFA01016380.1:1-15003,NA
176,genome_block_38415|UMFA01016380.1:1-14537,NA
177,genome_block_37502|OLFY01028261.1:1-10845,NA
178,genome_block_37095|OGXU01013884.1:1-11076,NA
179,genome_block_8446|Ga0216345_10080951:1-11967,NA
180,genome_block_37297|OHRJ01012431.1:1-10730,NA
181,genome_block_37089|OGXR01002858.1:1-19910,NA
182,genome_block_37089|OGXR01002858.1:1-19573,NA
183,genome_block_37089|OGXR01002858.1:1-19355,NA
184,genome_block_37089|OGXR01002858.1:1-18889,NA
185,genome_block_37765|OLPA01010167.1:1-12257,NA
186,genome_block_38327|ULYB01027409.1:1-11512,NA
187,genome_block_37069|OGWW01003139.1:1-14736,NA
188,genome_block_37069|OGWW01003139.1:1-14399,NA
189,genome_block_37069|OGWW01003139.1:1-14181,NA
190,genome_block_37069|OGWW01003139.1:1-13715,NA
191,genome_block_38404|UMDZ01008493.1:1-11703,NA
192,genome_block_38174|ULOL01021480.1:1-13337,NA
193,genome_block_37430|OIHY01003185.1:1-11945,NA
194,genome_block_37031|OGRJ01015922.1:1-10751,NA
195,genome_block_37031|OGRJ01015922.1:1-10750,NA
196,genome_block_37261|OHNF01005118.1:1-12757,NA
197,genome_block_37024|OGQV01033790.1:1-10274,NA
198,genome_block_37041|OGRU01008821.1:1-12077,NA
199,genome_block_37914|OMCL01001318.1:1-10110,NA
200,genome_block_37017|OGQT01000795.1:16071-36099,NA
201,genome_block_37084|OGXM01022765.1:1-10943,NA
202,genome_block_37514|OIXA01000048.1:128254-148282,NA
203,genome_block_37015|OGQN01036698.1:1-10617,NA
204,genome_block_37015|OGQN01036698.1:1-10616,NA
205,genome_block_37504|OLGA01001982.1:1017-21046,NA
206,genome_block_37008|OGQI01000290.1:21843-41872,NA
207,genome_block_37008|OGQF01001493.1:1-10950,NA
208,genome_block_36995|OGPR01012038.1:1-11811,NA
209,genome_block_37528|OIYG01000445.1:1-19119,NA
210,genome_block_36987|OGPE01001959.1:1803-21831,NA
211,genome_block_37910|OMCC01018395.1:1-10262,NA
212,genome_block_36982|OGOY01031254.1:1-10226,NA
213,genome_block_36979|OGOW01015243.1:1-11964,NA
214,genome_block_36979|OGOW01015243.1:1-10874,NA
215,genome_block_36973|OGOM01007998.1:1-13277,NA
216,genome_block_36973|OGOM01007998.1:1-13067,NA
217,genome_block_36973|OGOM01007998.1:1-12593,NA
218,genome_block_38295|ULWC01025373.1:1-13977,NA
219,genome_block_37087|OGXL01008803.1:1-13805,NA
220,genome_block_37023|OGQZ01029892.1:1-10451,NA
221,genome_block_37149|OHAS01028024.1:1-10282,NA
222,genome_block_37865|OLXA01003234.1:1-13480,NA
223,genome_block_36970|OGOL01031867.1:1-11141,NA
224,genome_block_37682|OJSO01006337.1:1-12346,NA
225,genome_block_37449|OLCM01004312.1:1-10382,NA
226,genome_block_36954|OGDF01052068.1:1-10046,NA
227,genome_block_37903|OMBL01000463.1:1-11142,NA
228,genome_block_37892|OLZZ01002615.1:1-12618,NA
229,genome_block_37892|OLZZ01002615.1:1-12354,NA
230,genome_block_37892|OLZZ01002615.1:1-12343,NA
231,genome_block_37892|OLZZ01002615.1:1-12334,NA
232,genome_block_37892|OLZZ01002615.1:1-11338,NA
233,genome_block_37891|OLZV01001391.1:1-12892,NA
234,genome_block_37891|OLZV01001391.1:1-12628,NA
235,genome_block_37891|OLZV01001391.1:1-12617,NA
236,genome_block_37891|OLZV01001391.1:1-12608,NA
237,genome_block_37891|OLZV01001391.1:1-11612,NA
238,genome_block_37882|OLYY01002977.1:1-12132,NA
239,genome_block_37882|OLYY01002977.1:1-11868,NA
240,genome_block_37882|OLYY01002977.1:1-11857,NA
241,genome_block_37882|OLYY01002977.1:1-11848,NA
242,genome_block_37882|OLYY01002977.1:1-10852,NA
243,genome_block_37884|OLZE01010461.1:1-11481,NA
244,genome_block_37431|OIIG01009296.1:1-10703,NA
245,genome_block_37344|OHYE01008844.1:1-12488,NA
246,genome_block_37190|OHEN01005019.1:1-12727,NA
247,genome_block_38237|ULSU01006602.1:1-10558,NA
248,genome_block_37146|OHAJ01005026.1:1-13405,NA
249,genome_block_36939|OODB01026645.1:1-11118,NA
250,genome_block_36939|OODB01010543.1:1-11766,NA
251,genome_block_37080|OGXC01019488.1:1-11183,134
252,genome_block_38135|ULJT01006999.1:1-10577,NA
253,genome_block_37125|OGZG01033056.1:1-10614,NA
254,genome_block_36932|OOCJ01006021.1:1-10159,NA
255,genome_block_36931|OOCA01007595.1:1-11787,NA
256,genome_block_37382|OKUZ01015016.1:1-10107,NA
257,genome_block_36914|ONZS01019680.1:1-10104,NA
258,genome_block_37914|OMCO01002474.1:1-10428,NA
259,genome_block_37425|OKYY01012938.1:1-10294,NA
260,genome_block_37271|OKTO01004306.1:1-10162,NA
261,genome_block_36906|OOAG01013381.1:1-12663,NA
262,genome_block_36881|OFSC01001492.1:4833-24862,NA
263,genome_block_36881|OFSC01001492.1:4496-24525,NA
264,genome_block_36881|OFSC01001492.1:4278-24307,NA
265,genome_block_36881|OFSC01001492.1:3812-23841,NA
266,genome_block_38201|ULQM01068712.1:1-10336,51
267,genome_block_37163|OHBW01022859.1:1-10938,NA
268,genome_block_37209|OHHB01004080.1:1-11148,NA
269,genome_block_36874|OFMQ01016005.1:1-11066,NA
270,genome_block_36873|OFMP01042067.1:1-10366,NA
271,genome_block_36864|OFLZ01069611.1:1-10272,51
272,genome_block_36861|OFMD01002496.1:1-13384,NA
273,genome_block_36861|OFMD01002496.1:1-12918,NA
274,genome_block_36861|OFMD01002496.1:1-12363,NA
275,genome_block_36758|OCVV010732565.1:1-11661,NA
276,genome_block_36758|OCVV010732565.1:1-11587,NA
277,genome_block_36758|OCVV010732565.1:1-10825,NA
278,genome_block_36720|OCTX011762386.1:1-11150,NA
279,genome_block_36701|OCMC01003362.1:1-11174,NA
280,genome_block_36939|OODB01007534.1:1-11672,NA
281,genome_block_38364|UMBF01045334.1:1-14598,NA
282,genome_block_36692|OCJJ01000242.1:5440-25469,NA
283,genome_block_37897|OMAS01011491.1:1-11171,NA
284,genome_block_37425|OIHK01005127.1:1-11120,NA
285,genome_block_37384|OIDK01005653.1:1-11121,NA
286,genome_block_37377|OICU01007545.1:1-11116,NA
287,genome_block_37280|OHOX01000041.1:1-10596,NA
288,genome_block_37134|OGZR01007792.1:1-11186,NA
289,genome_block_36692|OCJI01000377.1:1-10587,NA
290,genome_block_37286|OHQH01004408.1:1-12985,NA
291,genome_block_36678|OCHV01004854.1:1-13497,NA
292,genome_block_38259|ULUC01024085.1:1-13864,NA
293,genome_block_37451|OILT01000522.1:1-16001,NA
294,genome_block_38136|ULJZ01022953.1:1-10578,NA
295,genome_block_37883|OLZF01008795.1:1-10338,NA
296,genome_block_37041|OGRU01013609.1:1-12691,NA
297,genome_block_37031|OGRJ01012238.1:1-10390,NA
298,genome_block_36621|OBZE01001661.1:1-13081,NA
299,genome_block_37639|OJPI01003744.1:1-11471,NA
300,genome_block_36620|OBZH01004624.1:1-11870,NA
301,genome_block_37224|OHIQ01004359.1:1-10154,NA
302,genome_block_38305|ULWS01023162.1:1-14401,NA
303,genome_block_37282|OHPR01007031.1:1-10770,161
304,genome_block_37598|OLIW01065002.1:1-10073,NA
305,genome_block_36913|OOBJ01001427.1:1-12030,NA
306,genome_block_36592|OBVY01007027.1:1-11502,NA
307,genome_block_36592|OBVY01007027.1:1-11501,NA
308,genome_block_37231|OHJO01010743.1:1-10327,NA
309,genome_block_37472|OLFA01009667.1:1-10213,NA
310,genome_block_37228|OHJG01029184.1:1-10699,NA
311,genome_block_37555|OLGY01003374.1:1-14919,NA
312,genome_block_37525|OIXV01010956.1:1-11797,NA
313,genome_block_36583|OBSA01002092.1:1-10713,NA
314,genome_block_37553|OIZR01000403.1:21931-41960,NA
315,genome_block_36580|OEAV01002330.1:1-16841,NA
316,genome_block_37347|OHYR01007620.1:1-10964,NA
317,genome_block_36547|ODHV01011814.1:1-11561,NA
318,genome_block_38510|UMLQ01021902.1:1-16184,NA
319,genome_block_37443|OIJT01001097.1:1-10815,NA
320,genome_block_37284|OHPY01001579.1:1-11411,NA
321,genome_block_36439|OEFW01016095.1:1-11501,NA
322,genome_block_38491|UMKI01031684.1:1-14270,NA
323,genome_block_38434|UMGH01042926.1:9027-29056,NA
324,genome_block_38397|UMDN01019498.1:1-14272,NA
325,genome_block_38396|UMDL01031622.1:1-10464,NA
326,genome_block_38188|ULPT01006910.1:1-13311,NA
327,genome_block_38003|OWJF01002711.1:1-12796,NA
328,genome_block_37549|OIZP01006789.1:1-11823,NA
329,genome_block_37527|OIXQ01015004.1:1-11301,NA
330,genome_block_36659|OCHN01000401.1:16677-36706,NA
331,genome_block_36316|OBIB01002931.1:1-11644,NA
332,genome_block_37172|OHCW01003881.1:1-11427,70
333,genome_block_38438|UMGV01011558.1:105090-125118,NA
334,genome_block_37866|OLXI01000008.1:2985-23013,NA
335,genome_block_37853|OLWK01000011.1:151543-171571,NA
336,genome_block_37831|OLSQ01000051.1:67354-87382,NA
337,genome_block_36260|OBLI01019114.1:1-10188,NA
338,genome_block_36549|OEGI01004884.1:1-11099,172
339,genome_block_38368|UMBN01009406.1:1-11250,NA
340,genome_block_38368|UMBN01009406.1:1-11158,NA
341,genome_block_37879|OLYN01021943.1:1-10846,NA
342,genome_block_37879|OLYN01021943.1:1-10345,NA
343,genome_block_37879|OLYN01021943.1:1-10253,NA
344,genome_block_37142|OGZY01000095.1:1-14099,NA
345,genome_block_37281|OHPO01009034.1:1-12235,NA
346,genome_block_36186|OBBG01002843.1:1-10807,NA
347,genome_block_38198|ULQJ01003528.1:1-12414,NA
348,genome_block_38491|UMKJ01077820.1:1-12468,NA
349,genome_block_37451|OILT01015741.1:1-10722,NA
350,genome_block_37451|OILS01000985.1:1-12983,NA
351,genome_block_37448|OIKY01001512.1:1-10042,NA
352,genome_block_37446|OLCJ01000825.1:1-10850,NA
353,genome_block_37435|OLAI01004120.1:1-11644,NA
354,genome_block_36170|OAWS01004230.1:1-10564,NA
355,genome_block_36944|OOCZ01018130.1:1-10238,NA
356,genome_block_36982|OGOY01011850.1:1-11589,NA
357,genome_block_36664|OCHL01006948.1:1-10286,178
358,genome_block_38470|UMIQ01029021.1:1-11687,NA
359,genome_block_38470|UMIQ01029021.1:1-11470,NA
360,genome_block_37995|OWIH01000227.1:1-16288,NA
361,genome_block_37995|OWIH01000227.1:1-15493,NA
362,genome_block_37995|OWID01002537.1:1-14157,NA
363,genome_block_36589|OBVC01000232.1:1-11000,NA
364,genome_block_36156|OAUK01000807.1:1-14195,NA
365,genome_block_36156|OAUK01000807.1:1-13400,NA
366,genome_block_36156|OAUK01000807.1:1-11403,NA
367,genome_block_36156|OAUK01000807.1:1-11186,NA
368,genome_block_38430|UMGF01047539.1:1-12406,NA
369,genome_block_37009|OGQI01004538.1:1-11066,NA
370,genome_block_36151|OATX01013684.1:1-10828,NA
371,genome_block_37321|OHTX01003709.1:1-10583,134
372,genome_block_37313|OHTE01002271.1:1-12193,134
373,genome_block_38137|ULKB01011097.1:1-10373,181
374,genome_block_38439|UMGW01010927.1:1-13037,NA
375,genome_block_37925|OMEB01009688.1:1-11643,NA
376,genome_block_37887|OLZG01009444.1:1-10418,NA
377,genome_block_38184|ULPL01025381.1:1-15318,134
378,genome_block_37033|OGRD01005052.1:1-12237,134
379,genome_block_38496|UMKR01052081.1:1-13147,NA
380,genome_block_37805|OLRF01012769.1:1-13472,NA
381,genome_block_38176|ULOQ01040545.1:1-10733,NA
382,genome_block_36119|OEIL01022919.1:1-10937,NA
383,genome_block_36119|OEIL01022919.1:1-10936,NA
384,genome_block_36119|OEIL01014680.1:1-10366,NA
385,genome_block_37310|OHSW01002972.1:1-12171,NA
386,genome_block_38297|ULWF01027278.1:1-10547,134
387,genome_block_37079|OGXF01031211.1:1-10270,134
388,genome_block_37176|OHDA01003641.1:1-11932,186
389,genome_block_37521|OIXH01006629.1:1-17075,NA
390,genome_block_37498|OLGB01006286.1:1-17171,NA
391,genome_block_37417|OIGE01001055.1:1-14514,NA
392,genome_block_36064|ODIA01021046.1:1-10889,NA
393,genome_block_37241|OHKU01008646.1:1-12199,134
394,genome_block_36903|OOAE01021925.1:1-11003,NA
395,genome_block_38291|ULVU01044446.1:12764-32793,NA
396,genome_block_36029|ODSV01000596.1:9200-29229,NA
397,genome_block_36518|ODTX01024578.1:1-10284,NA
398,genome_block_37427|OKZN01002213.1:1-10611,NA
399,genome_block_35990|ODEI01010586.1:1-12442,NA
400,genome_block_35990|ODEI01010586.1:1-11976,NA
401,genome_block_35990|ODEI01010586.1:1-11421,NA
402,genome_block_37027|OGRB01000297.1:1-13171,NA
403,genome_block_37985|OQWD01003655.1:1-14061,NA
404,genome_block_37985|OQWD01003655.1:1-13843,NA
405,genome_block_37048|OGTB01016119.1:1-10853,134
406,genome_block_37696|OKCF01000375.1:1-16296,NA
407,genome_block_38158|ULMY01032761.1:1-17181,172
408,genome_block_38158|ULMY01032761.1:1-16962,172
409,genome_block_37178|OHDE01006546.1:1-12265,NA
410,genome_block_35706|WCVV01000001.1:17424-37453,NA
411,genome_block_37183|OHDS01000445.1:8920-28949,199
412,genome_block_37641|OJPQ01001490.1:1-15534,NA
413,genome_block_37930|OMFD01001005.1:3840-23869,NA
414,genome_block_38132|ULJH01030274.1:1-10188,202
415,genome_block_36621|OBZE01003003.1:1-11238,203
416,genome_block_38461|UMIA01050378.1:29066-49095,NA
417,genome_block_38461|UMIA01050378.1:27588-47621,NA
418,genome_block_38461|UMIA01050378.1:27091-47120,NA
419,genome_block_38461|UMIA01050378.1:26999-47028,NA
420,genome_block_38461|UMIA01050378.1:25661-45690,NA
421,genome_block_38368|UMBN01028339.1:1-10697,NA
422,genome_block_38368|UMBM01060069.1:18548-38577,NA
423,genome_block_38367|UMBM01013518.1:1-10627,NA
424,genome_block_38367|UMBJ01032930.1:19319-39348,NA
425,genome_block_38367|UMBJ01032930.1:18024-38053,NA
426,genome_block_38367|UMBJ01032930.1:17932-37961,NA
427,genome_block_38201|ULQM01023184.1:1-13390,NA
428,genome_block_38201|ULQM01023184.1:1-13298,NA
429,genome_block_38201|ULQM01023184.1:1-12801,NA
430,genome_block_38200|ULQK01084916.1:1-12538,NA
431,genome_block_38178|ULOZ01021420.1:61413-81446,NA
432,genome_block_38178|ULOZ01021420.1:60838-80867,NA
433,genome_block_37987|OQWM01014996.1:1-12646,NA
434,genome_block_37987|OQWM01000049.1:1-10404,NA
435,genome_block_37986|OQVZ01000732.1:1-10791,NA
436,genome_block_37986|OQVZ01000732.1:1-10699,NA
437,genome_block_37982|OQVR01006396.1:1-12252,NA
438,genome_block_37982|OQVR01000233.1:13248-33281,NA
439,genome_block_37982|OQVR01000233.1:12751-32780,NA
440,genome_block_37934|OMFK01000016.1:134277-154310,NA
441,genome_block_37934|OMFK01000016.1:133017-153046,NA
442,genome_block_37914|OMCN01000016.1:153735-173764,NA
443,genome_block_37914|OMCN01000016.1:152450-172483,NA
444,genome_block_37914|OMCN01000016.1:151953-171982,NA
445,genome_block_37914|OMCN01000016.1:151861-171890,NA
446,genome_block_37914|OMCN01000016.1:151190-171219,NA
447,genome_block_37895|OMAN01000017.1:135564-155593,NA
448,genome_block_37895|OMAN01000017.1:134278-154311,NA
449,genome_block_37895|OMAN01000017.1:133781-153810,NA
450,genome_block_37895|OMAN01000017.1:133689-153718,NA
451,genome_block_37895|OMAN01000017.1:133018-153047,NA
452,genome_block_37881|OLYV01000018.1:97474-117503,NA
453,genome_block_37881|OLYV01000018.1:96803-116832,NA
454,genome_block_37881|OLYV01000018.1:96711-116740,NA
455,genome_block_37881|OLYV01000018.1:96210-116243,NA
456,genome_block_37881|OLYV01000018.1:94929-114958,NA
457,genome_block_36194|OBCM01001671.1:1-11315,NA
458,genome_block_36194|OBCM01001671.1:1-10814,NA
459,genome_block_36194|OBCM01001671.1:1-10722,NA
460,genome_block_35262|SFIJ01000002.1:118904-138933,NA
461,genome_block_35927|FUFH01000018.1:53651-73680,NA
462,genome_block_35927|FUFH01000018.1:53323-73351,NA
463,genome_block_35148|REGX01274387.1:1-11148,NA
464,genome_block_35147|REGX01101148.1:1-10668,NA
465,genome_block_35017|RRZU012390447.1:1-10263,NA
466,genome_block_35017|RRZU012299383.1:1-11396,NA
467,genome_block_38368|UMBM01065721.1:1-10956,NA
468,genome_block_35007|RRZU010074257.1:1-11102,NA
469,genome_block_37462|OIOT01000725.1:1-11379,NA
470,genome_block_37453|OILW01000670.1:1-12440,NA
471,genome_block_37089|OGXR01006285.1:1-11553,NA
472,genome_block_37471|OLEP01002209.1:1-11315,NA
473,genome_block_37431|OIIE01002675.1:1-10580,NA
474,genome_block_36033|ODTG01006874.1:1-12044,NA
475,genome_block_38170|ULOC01021469.1:1-11096,NA
476,genome_block_37724|OLKF01001437.1:1-11817,NA
477,genome_block_37661|OJRL01004026.1:1-11286,NA
478,genome_block_37484|OITL01002146.1:1-10754,NA
479,genome_block_37482|OISV01002358.1:1-12089,NA
480,genome_block_37471|OLEQ01003901.1:1-12244,NA
481,genome_block_37423|OIHL01002489.1:1-10176,NA
482,genome_block_37127|OGZN01008843.1:1-11372,NA
483,genome_block_34852|QZLN01023041.1:1-11658,51
484,genome_block_37547|OLHA01025305.1:1-10509,NA
485,genome_block_36966|OGOP01000259.1:39108-59136,NA
486,genome_block_36705|OCMD01000337.1:1-14084,NA
487,genome_block_37775|OLPL01004925.1:1-14615,202
488,genome_block_37775|OLPL01004925.1:1-14532,202
489,genome_block_37471|OLEQ01001895.1:1-10853,NA
490,genome_block_37615|OJNK01002727.1:1-11246,NA
491,genome_block_34793|QWCN01037937.1:1-11581,NA
492,genome_block_38156|ULMV01006479.1:1-11452,NA
493,genome_block_37820|OLRY01000748.1:1-10768,NA
